"","country","insee_code","latitude","longitude","wikidata","wikipedia_page","nb_tour","depart"
"3","France","35236",47.6513888889,-2.08472222222,"Q206837","Redon",1,FALSE
"4","France","35278",48.1511111111,-1.68611111111,"Q220159","Saint-Grégoire (Ille-et-Vilaine)",1,FALSE
"6","France","35288",48.6472222222,-2.00888888889,"Q163108","Saint-Malo",9,FALSE
"58","France","56172",47.8377777778,-2.64083333333,"Q128990","Plumelec",5,TRUE
"76","France","29151",48.5775,-3.82777777778,"Q202368","Morlaix",1,FALSE
"95","France","35238",48.1141666667,-1.68083333333,"Q647","Rennes",16,TRUE
"156","France","35093",48.6325,-2.06166666667,"Q131600","Dinard",6,FALSE
"159","France","35049",48.6766666667,-1.85194444444,"Q203561","Cancale",1,FALSE
"175","France","22278",48.5136111111,-2.76027777778,"Q29234","Saint-Brieuc",11,TRUE
"176","France","35115",48.3516666667,-1.2,"Q4043","Fougères",3,FALSE
"179","France","56121",47.7458333333,-3.36638888889,"Q71724","Lorient",11,FALSE
"206","France","22158",48.2002777778,-2.98611111111,"Q274145","Mûr-de-Bretagne",2,FALSE
"247","France","22093",48.4686111111,-2.51777777778,"Q240286","Lamballe",1,FALSE
"259","France","29232",47.9958333333,-4.09777777778,"Q342","Quimper",5,FALSE
"298","France","35360",48.1233333333,-1.20944444444,"Q234704","Vitré (Ille-et-Vilaine)",4,FALSE
"326","France","56098",47.7633333333,-3.33888888889,"Q71535","Lanester",2,FALSE
"342","France","29019",48.39,-4.48694444444,"Q12193","Brest",29,TRUE
"347","France","29026",48.1966666667,-4.09,"Q202374","Châteaulin",3,FALSE
"359","France","56260",47.655,-2.76166666667,"Q6593","Vannes",12,FALSE
"394","France","56166",47.9147222222,-3.33527777778,"Q129002","Plouay",2,FALSE
"437","France","29024",48.2758333333,-3.57444444444,"Q208226","Carhaix-Plouguer",1,FALSE
"455","France","29239",48.7266666667,-3.98583333333,"Q245297","Roscoff",1,FALSE
"484","France","35297",48.1891666667,-2.19083333333,"Q390437","Saint-Méen-le-Grand",1,FALSE
"534","France","29039",47.8752777778,-3.91888888889,"Q17393","Concarneau",1,FALSE
"557","France","22113",48.7325,-3.45527777778,"Q207581","Lannion",1,FALSE
"563","France","22168",48.8133333333,-3.44333333333,"Q239943","Perros-Guirec",1,FALSE
"564","France","56007",47.6677777778,-2.9825,"Q62958","Auray",1,FALSE
"586","France","22050",48.4555555556,-2.05027777778,"Q201311","Dinan",7,FALSE
"604","France","29259",48.6852777778,-3.98638888889,"Q239908","Saint-Pol-de-Léon",1,FALSE
"687","France","",48.68333333,-2.31805556,"Q175676","Cap Fréhel",1,FALSE
